product_handle,brand_handle,variant_handle,vendor_handle,vendor_sku,cost_price_gbp,is_primary
gram-roasted-salted,natco,300g,natco_foods,natco-natco-gram-roasted-salted-300g,,true
gram-roasted-unsalted,natco,300g,natco_foods,natco-natco-gram-roasted-unsalted-300g,,true
idli-rice,natco,5kg,natco_foods,natco-natco-idli-rice-5kg,,true
ponni-rice,natco,5kg,natco_foods,natco-natco-ponni-rice-5kg,,true
sona-masuri-rice,natco,5kg,natco_foods,natco-natco-sona-masuri-rice-5kg,,true
easycook-parboiled-rice,natco,5kg,natco_foods,natco-natco-easycook-parboiled-rice-5kg,,true
long-grain-white-rice,natco,5kg,natco_foods,natco-natco-long-grain-white-rice-5kg,,true
basmati-rice-kernel,natco,5kg,natco_foods,natco-natco-basmati-rice-kernel-5kg,,true
basmati-rice-india,natco,2kg,natco_foods,natco-natco-basmati-rice-india-2kg,,true
basmati-rice-india-bag,natco,5kg,natco_foods,natco-natco-basmati-rice-india-bag-5kg,,true
pappadoms-madras-papa-brand,natco,250g,natco_foods,natco-natco-pappadoms-madras-papa-brand-250g,,true
pappadoms-madras-coin-size,natco,200g,natco_foods,natco-natco-pappadoms-madras-coin-size-200g,,true
pappadoms-punjabi-microwavable,natco,200g,natco_foods,natco-natco-pappadoms-punjabi-microwavable-200g,,true
pappadoms-plain-microwavable,natco,200g,natco_foods,natco-natco-pappadoms-plain-microwavable-200g,,true
pappadoms-jeera-microwavable,natco,200g,natco_foods,natco-natco-pappadoms-jeera-microwavable-200g,,true
pappadoms-black-pepper,natco,200g,natco_foods,natco-natco-pappadoms-black-pepper-200g,,true
luxury-fruit-amp-nuts-mix,natco,750g,natco_foods,natco-natco-luxury-fruit-nuts-mix-750g,,true
luxury-fruit-amp-nut-mix,natco,250g,natco_foods,natco-natco-luxury-fruit-nut-mix-250g,,true
pistachio-kernels,natco,1kg,natco_foods,natco-natco-pistachio-kernels-1kg,,true
pistachio-kernels,natco,250g,natco_foods,natco-natco-pistachio-kernels-250g,,true
pistachio-kernels,natco,100g,natco_foods,natco-natco-pistachio-kernels-100g,,true
roasted-amp-salted-pistachio-nuts,natco,1kg,natco_foods,natco-natco-roasted-salted-pistachio-nuts-1kg,,true
roasted-amp-salted-pistachio-nuts,natco,300g,natco_foods,natco-natco-roasted-salted-pistachio-nuts-300g,,true
roasted-amp-salted-pistachio-nuts,natco,100g,natco_foods,natco-natco-roasted-salted-pistachio-nuts-100g,,true
roasted-monkey-nuts,natco,300g,natco_foods,natco-natco-roasted-monkey-nuts-300g,,true
peanuts-red,natco,1kg,natco_foods,natco-natco-peanuts-red-1kg,,true
peanuts-red,natco,400g,natco_foods,natco-natco-peanuts-red-400g,,true
coconut-halves,natco,250g,natco_foods,natco-natco-coconut-halves-250g,,true
coconut-flakes,natco,200g,natco_foods,natco-natco-coconut-flakes-200g,,true
coconut-milk-powder,natco,300g,natco_foods,natco-natco-coconut-milk-powder-300g,,true
coconut-desiccated-fine,natco,300g,natco_foods,natco-natco-coconut-desiccated-fine-300g,,true
coconut-desicated-medium,natco,1kg,natco_foods,natco-natco-coconut-desicated-medium-1kg,,true
cashew-roasted-salted,natco,250g,natco_foods,natco-natco-cashew-roasted-salted-250g,,true
cashew-large-white-pieces,natco,750g,natco_foods,natco-natco-cashew-large-white-pieces-750g,,true
cashew-split,natco,1kg,natco_foods,natco-natco-cashew-split-1kg,,true
cashew-kernel,natco,300g,natco_foods,natco-natco-cashew-kernel-300g,,true
cashew-kernel,natco,1kg,natco_foods,natco-natco-cashew-kernel-1kg,,true
walnut-halves,natco,700g,natco_foods,natco-natco-walnut-halves-700g,,true
walnut-halves,natco,200g,natco_foods,natco-natco-walnut-halves-200g,,true
pecans,natco,200g,natco_foods,natco-natco-pecans-200g,,true
almond-blanched-whole,natco,250g,natco_foods,natco-natco-almond-blanched-whole-250g,,true
blanched-almond-whole,natco,700g,natco_foods,natco-natco-blanched-almond-whole-700g,,true
almond-flakes,natco,1kg,natco_foods,natco-natco-almond-flakes-1kg,,true
almond-flakes,natco,300g,natco_foods,natco-natco-almond-flakes-300g,,true
almonds-ground,natco,300g,natco_foods,natco-natco-almonds-ground-300g,,true
almonds,natco,1kg,natco_foods,natco-natco-almonds-1kg,,true
almonds,natco,400g,natco_foods,natco-natco-almonds-400g,,true
pavbhaji-masala-mangal,natco,100g,natco_foods,natco-natco-pavbhaji-masala-mangal-100g,,true
biryani-masala-mangal,natco,50g,natco_foods,natco-natco-biryani-masala-mangal-50g,,true
chicken-masala-mangal,natco,100g,natco_foods,natco-natco-chicken-masala-mangal-100g,,true
sambhar-masala-mangal,natco,100g,natco_foods,natco-natco-sambhar-masala-mangal-100g,,true
