product_handle,brand_handle,variant_handle,price_gbp,currency
cassia-dalchini,natco,400g,4.70,gbp
chilli-powder,natco,1kg,5.75,gbp
chilli-powder,natco,100g,0.85,gbp
chilli-powder-extra-hot,natco,400g,3.00,gbp
chilli-powder-kashmiri,natco,100g,1.00,gbp
chilli-powder-kashmiri,natco,400g,3.40,gbp
chilli-whole-birdseye,natco,150g,3.90,gbp
chilli-whole-stemless,natco,200g,3.95,gbp
chinese-5-spice,natco,100g,1.05,gbp
cinnamon-sticks,natco,50g,2.65,gbp
cloves,natco,200g,4.30,gbp
cloves-ground,natco,50g,1.15,gbp
coriander-ground,natco,400g,2.05,gbp
coriander-seeds,natco,300g,1.65,gbp
chilli-crushed,natco,300g,2.95,gbp
cumin-ground-jar,natco,70g,1.15,gbp
cumin-ground,natco,100g,0.85,gbp
cumin-ground,natco,400g,3.10,gbp
cumin-seeds,natco,400g,3.49,gbp
cumin-seeds-black,natco,100g,2.90,gbp
cumin-seeds-jar,natco,100g,1.60,gbp
curry-powder,natco,400g,2.40,gbp
curry-powder-hot,natco,400g,2.45,gbp
curry-powder-hot,natco,100g,0.70,gbp
curry-powder-medium-jar,natco,100g,1.20,gbp
curry-leaves,natco,100g,5.75,gbp
fennel-seeds,natco,400g,2.45,gbp
fennel-seeds-jar,natco,100g,1.55,gbp
garlic-flakes,natco,100g,1.00,gbp
garlic-powder,natco,100g,0.90,gbp
garlic-powder-jar,natco,100g,1.45,gbp
ginger-powder,natco,100g,0.85,gbp
ground-ginger-jar,natco,70g,1.05,gbp
kala-namak,natco,300g,0.95,gbp
kala-namak,natco,100g,0.50,gbp
mace-ground,natco,50g,2.45,gbp
methi-leaves-jar,natco,10g,1.00,gbp
methi-seeds-fenugreek,natco,400g,1.30,gbp
methi-seeds-jar,natco,100g,1.25,gbp
moth-beans,natco,500g,1.40,gbp
moth-beans,natco,2kg,5.20,gbp
mustard-seeds,natco,400g,1.15,gbp
mustard-seeds-black-jar,natco,100g,1.00,gbp
kalwanji-nigella-seeds,natco,300g,2.45,gbp
kalwanji-nigella-seeds-jar,natco,100g,1.65,gbp
nutmeg-ground,natco,50g,1.15,gbp
nutmeg-ground-jar,natco,100g,2.95,gbp
nutmeg-whole-jar,natco,100g,3.35,gbp
panchpuran-5-whole-spice,natco,1kg,5.45,gbp
paprika-powder,natco,400g,2.70,gbp
paprika-powder-jar,natco,100g,1.40,gbp
saffron,natco,1g,4.40,gbp
takmuria-basil-seeds,natco,100g,1.00,gbp
tamarind-paste-jar,natco,250g,2.60,gbp
tamarind-slab,natco,200g,1.65,gbp
tamarind-wet,natco,400g,2.75,gbp
toor-dal-oily,natco,1kg,3.15,gbp
toor-dal-oily,natco,2kg,6.15,gbp
toor-dal-plain,natco,2kg,5.40,gbp
toor-dal-plain,natco,500g,1.45,gbp
turmeric-powder,natco,400g,2.99,gbp
turmeric-powder-jar,natco,100g,1.30,gbp
urid-dal-white,natco,2kg,6.10,gbp
urid-dal-white,natco,1kg,3.25,gbp
urid-beans,natco,2kg,5.85,gbp
urid-beans,natco,1kg,3.15,gbp
urid-split,natco,2kg,5.70,gbp
urid-split,natco,500g,1.50,gbp
white-pepper-ground,natco,100g,2.10,gbp
white-pepper-ground-jar,natco,100g,2.85,gbp
yellow-mustard-seeds,natco,300g,1.40,gbp
yellow-split-peas,natco,2kg,3.80,gbp
yellow-split-peas,natco,1kg,2.15,gbp
bourbon,parle,200g,4.99,gbp
g-glucose-biscuits,parle,1kg,3.99,gbp
g-glucose-biscuits,parle,400g,4.99,gbp
mango-bite,parle,40piece,4.99,gbp
melody,parle,40piece,4.99,gbp
monaco-salted-crackers,parle,200g,4.99,gbp
lime-pickle,pataks,283g,4.99,gbp
mango-chutney,pataks,340g,4.99,gbp
mixed-pickle,pataks,283g,4.99,gbp
tikka-masala-paste,pataks,290g,4.99,gbp
chakki-fresh-atta,pillsbury,10kg,9.99,gbp
chakki-fresh-atta,pillsbury,5kg,5.49,gbp
bombay-biryani-mix,shan,60g,2.99,gbp
haleem-mix,shan,300g,4.99,gbp
sindhi-biryani-mix,shan,65g,2.99,gbp
special-beef-biryani-mix,shan,60g,2.99,gbp
special-chicken-biryani-mix,shan,60g,1.49,gbp
special-mutton-biryani-mix,shan,60g,2.99,gbp
pure-basmati,tilda,2kg,5.49,gbp
pure-basmati,tilda,5kg,7.99,gbp
pure-basmati,tilda,10kg,13.99,gbp
coarse-black-pepper,trs,1kg,1.49,gbp
coarse-black-pepper,trs,400g,1.99,gbp
coarse-black-pepper,trs,100g,0.99,gbp
coarse-cornmeal,trs,500g,1.49,gbp
coarse-cornmeal,trs,5kg,1.99,gbp
coarse-cornmeal,trs,1-5kg,0.99,gbp
coarse-semolina,trs,500g,1.49,gbp
coarse-semolina,trs,5kg,1.99,gbp
coarse-semolina,trs,1-5kg,0.99,gbp
coriander-powder-dhania,trs,1kg,1.49,gbp
coriander-powder-dhania,trs,200g,1.99,gbp
coriander-powder-dhania,trs,400g,2.49,gbp
coriander-powder-dhania,trs,5kg,2.99,gbp
coriander-powder-dhania,trs,100g,0.99,gbp
coriander-seeds-whole-dhania,trs,100g,0.99,gbp
coriander-seeds-whole-dhania,trs,250g,1.49,gbp
coriander-seeds-whole-dhania,trs,3kg,1.99,gbp
coriander-seeds-whole-dhania,trs,750g,2.49,gbp
crushed-chilli,trs,100g,0.99,gbp
crushed-chilli,trs,250g,1.49,gbp
crushed-chilli,trs,750g,2.49,gbp
crushed-chilli,trs,3kg,1.99,gbp
cumin-powder,trs,100g,0.99,gbp
cumin-powder,trs,400g,1.49,gbp
cumin-powder,trs,1kg,1.99,gbp
cumin-powder,trs,5kg,2.49,gbp
cumin-seeds,trs,100g,0.99,gbp
cumin-seeds,trs,1kg,1.49,gbp
cumin-seeds,trs,400g,1.99,gbp
cumin-seeds,trs,4kg,2.49,gbp
fennel-seeds,trs,100g,0.99,gbp
fennel-seeds,trs,1kg,1.49,gbp
fennel-seeds,trs,400g,1.99,gbp
fenugreek-leaves,trs,100g,0.99,gbp
fenugreek-leaves,trs,1kg,1.49,gbp
fenugreek-leaves,trs,300g,1.99,gbp
fenugreek-leaves,trs,50g,2.49,gbp
fenugreek-seeds,trs,50g,0.99,gbp
fenugreek-seeds,trs,100g,1.49,gbp
fenugreek-seeds,trs,300g,1.99,gbp
fenugreek-seeds,trs,1kg,2.49,gbp
fine-desiccated-coconut,trs,300g,0.99,gbp
fine-desiccated-coconut,trs,1kg,1.49,gbp
fine-semolina,trs,1-5kg,0.99,gbp
fine-semolina,trs,500g,1.49,gbp
fine-semolina,trs,5kg,1.99,gbp
garam-masala,trs,100g,0.99,gbp
garam-masala,trs,200g,1.49,gbp
garam-masala,trs,400g,1.99,gbp
garam-masala,trs,500g,2.49,gbp
garam-masala,trs,1kg,2.99,gbp
garam-masala,trs,5kg,3.49,gbp
garlic-powder,trs,1kg,1.49,gbp
garlic-powder,trs,400g,1.99,gbp
garlic-powder,trs,100g,0.99,gbp
ginger-paste,trs,1kg,0.99,gbp
ginger-powder,trs,100g,0.99,gbp
ginger-powder,trs,400g,1.49,gbp
ginger-powder,trs,1kg,1.99,gbp
green-cardamom,trs,200g,0.99,gbp
green-cardamom,trs,50g,1.49,gbp
green-cardamom,trs,750g,1.99,gbp
green-lentils,trs,500g,0.99,gbp
green-lentils,trs,1kg,1.49,gbp
green-lentils,trs,2kg,1.99,gbp
ground-rice,trs,1-5kg,0.99,gbp
ground-rice,trs,500g,1.49,gbp
ground-rice,trs,5kg,1.99,gbp
hot-madras-curry,trs,100g,0.99,gbp
hot-madras-curry,trs,400g,1.49,gbp
mild-madras-curry-powder,trs,2kg,1.49,gbp
mild-madras-curry-powder,trs,400g,1.99,gbp
mild-madras-curry-powder,trs,500g,2.49,gbp
mild-madras-curry-powder,trs,5kg,2.99,gbp
mild-madras-curry-powder,trs,1kg,0.99,gbp
moth-beans,trs,1kg,1.49,gbp
moth-beans,trs,2kg,1.99,gbp
moth-beans,trs,500g,0.99,gbp
mung-beans,trs,2kg,1.99,gbp
mung-beans,trs,500g,2.99,gbp
mung-beans,trs,1kg,1.49,gbp
mung-beans,trs,5kg,2.49,gbp
mung-dal,trs,500g,0.99,gbp
mung-dal,trs,1kg,1.49,gbp
mung-dal,trs,2kg,1.99,gbp
mung-dal,trs,5kg,2.49,gbp
mung-dal,trs,25kg,2.99,gbp
mung-dal-chilka-split-green-peas,trs,1kg,1.49,gbp
mung-dal-chilka-split-green-peas,trs,2kg,1.99,gbp
mung-dal-chilka-split-green-peas,trs,500g,0.99,gbp
paprika-powder,trs,100g,0.99,gbp
paprika-powder,trs,1kg,1.49,gbp
paprika-powder,trs,400g,1.99,gbp
paprika-powder,trs,5kg,2.49,gbp
popcorn,trs,2kg,0.99,gbp
popcorn,trs,500g,1.49,gbp
puffed-lotus-seeds-makhana,trs,100g,2.99,gbp
pure-gram-flour,trs,1kg,0.99,gbp
pure-gram-flour,trs,20kg,1.49,gbp
pure-gram-flour,trs,2kg,1.99,gbp
red-adzuki-beans-red-cow-peas,trs,500g,0.99,gbp
red-adzuki-beans-red-cow-peas,trs,2kg,1.49,gbp
