"natco_handle","title","variant_weight","natco_type","natco_subcategory","tags","in_catalog","match_status"
"nutmeg-ground","Nutmeg Ground 50g","50","Spices","spices-herbs","Christmas;Jaiphal;Xmas Cooking","no","in_shopify_only"
"nutmeg-ground-jar","Nutmeg Ground Jar 100g","100","Spice & Herb Jars","spice-herb-jars","Christmas;Jaiphal;Xmas Cooking","no","in_shopify_only"
"nutmeg-whole-jar","Nutmeg Whole Jar 100g","100","Spice & Herb Jars","spice-herb-jars","Christmas;Jaiphal;mulled;Xmas Cooking","no","in_shopify_only"
"orange-colouring-liquid","Orange Food Colouring - Liquid 28ml","28","Food Colouring","food-colourings-essences","Christmas;Colouring;Dye;Xmas Cooking","no","in_shopify_only"
"orange-food-colouring","Orange Food Colouring - Powder 25g","25","Food Colouring","food-colourings-essences","Colouring;Dye","no","in_shopify_only"
"oregano-jar","Oregano Jar 25g","25","Herbs","spices-herbs","Christmas;oragano;origano;Xmas Cooking","no","in_shopify_only"
"panchpuran-whole-spice","Panchpuran (5 Whole Spice) 1kg","1000","Spices","spices-herbs","bebal;bengali five spice;five spice;mukhwas;panch poran;panchphoron","no","in_shopify_only"
"paprika-powder","Paprika Powder 400g","400","Spices","spices-herbs","papprika;pepper;smoked paprika","no","in_shopify_only"
"paprika-powder-jar","Paprika Powder Jar 100g","100","Spice & Herb Jars","spice-herb-jars","Christmas;papprika;pepper;smoked paprika;Xmas Cooking","no","in_shopify_only"
"parsley-jar","Parsley Jar 25g","25","Herbs","spices-herbs","Christmas;parsly;Xmas Cooking","no","in_shopify_only"
"pavbhaji-masala-mangal","Pavbhaji Masala Mangal 100g","100","Spice Blends and Mixes","spice-blends-mixes","mdh;pau;paubhaji","no","in_shopify_only"
"pickle-masala-mangal","Pickle Masala Mangal 125g","125","Spice Blends and Mixes","spice-blends-mixes","achar;achar masala;achar pickle;mdh;mosola","no","in_shopify_only"
"pineapple-essence","Pineapple Flavouring Essence 28ml","28","Flavouring","food-colourings-essences","Christmas;essence;essences;flavouring;flavourings;new;Xmas Cooking","no","in_shopify_only"
"red-colouring-liquid","Red Food Colouring - Liquid 28ml","28","Food Colouring","food-colourings-essences","Colouring;Dye","no","in_shopify_only"
"red-food-colouring","Red Food Colouring - Powder 25g","25","Food Colouring","food-colourings-essences","Colouring;Dye;new","no","in_shopify_only"
"rose-essence","Rose Flavouring Essence 28ml","28","Flavouring","food-colourings-essences","Christmas;essence;essences;flavouring;flavourings;Xmas Cooking","no","in_shopify_only"
"rosemary-jar-40g","Rosemary Jar 40g","50","Herbs","spices-herbs","0;reduced","no","in_shopify_only"
"rose-syrup","Rose Syrup 725ml","1000","Flavouring","food-colourings-essences","2024BEST;Cheesecake Recipe;Christmas;falooda;gulab;gullab;spring","no","in_shopify_only"
"rosewater","Rose Water 310ml","310","Flavouring","food-colourings-essences","0","no","in_shopify_only"
"saffron","Saffron 1g","1","Spices","spices-herbs","2022BEST;Christmas;diwali2022;safron;Xmas Cooking","no","in_shopify_only"
"sage-jar","Sage Jar 25g","25","Herbs","spices-herbs","0;Christmas;Xmas Cooking","no","in_shopify_only"
"sambhar-masala-mangal","Sambhar Masala Mangal 100g","100","Spice Blends and Mixes","spice-blends-mixes","mdh;mosola;sambar;sambha","no","in_shopify_only"
"strawberry-essence","Strawberry Flavouring Essence 28ml","28","Flavouring","food-colourings-essences","essence;essences;flavouring;flavourings","no","in_shopify_only"
