product_handle,variant_sku,variant_barcode,variant_title,weight_value,weight_unit,thumbnail_url,velocity,tags,allergens,ingredients,storage,country_of_origin,variant_title_raw,variant_sku_raw
4567661051976,natco-popcorn-500g,GEN_4567661051976_500g,500g,500,g,/uploads/natco_popcorn-500g.jpg,A,,,See product packaging for full ingredients list,,India,Default,R6160
4567661084744,natco-crispy-fried-onions-150g,GEN_4567661084744_150g,150g,150,g,/uploads/natco_crispy-fried-onions-150g.png,A,,,See product packaging for full ingredients list,,India,Default,R6035
4567661084744,natco-crispy-fried-onions-400g,GEN_4567661084744_400g,400g,400,g,/uploads/natco_crispy-fried-onions-400g.jpg,A,,,See product packaging for full ingredients list,,India,Default,R6020
4567661183048,natco-jaggery-500g,4567661183048,500g,500,g,/uploads/natco_jaggery-500g.jpg,A,,,See product packaging for full ingredients list,,India,Default,R5360
4567661248584,natco-daria-dal-300g,4567661248584,300g,300,g,/uploads/natco_daria-dal-300g.jpg,A,,,See product packaging for full ingredients list,,India,Default,R4300
4567661281352,natco-phool-makhana-popped-lotus-seeds-100g,4567661281352,100g,100,g,/uploads/natco_phool-makhana-popped-lotus-seeds-100g.jpg,A,,,See product packaging for full ingredients list,,India,Default,R4282
4567661314120,natco-daria-gotta-large-700g,4567661314120,700g,700,g,/uploads/natco_daria-gotta-large-700g.jpg,A,,,See product packaging for full ingredients list,,India,Default,R4220
4567661379656,natco-daria-gotta-small-300g,4567661379656,300g,300,g,/uploads/natco_daria-gotta-small-300g.png,A,,,See product packaging for full ingredients list,,India,Default,R4200
4567661412424,natco-gram-roasted-salted-300g,4567661412424,300g,300,g,/uploads/natco_gram-roasted-salted-300g.jpg,A,,,See product packaging for full ingredients list,,India,Default,R4160
4567661445192,natco-gram-roasted-unsalted-300g,4567661445192,300g,300,g,/uploads/natco_gram-roasted-unsalted-300g.jpg,A,,,See product packaging for full ingredients list,,India,Default,R4150
4567661477960,natco-idli-rice-5kg,4567661477960,5kg,5,kg,/uploads/natco_idli-rice-5kg.jpg,A,,,See product packaging for full ingredients list,,India,Default,R1918
4567661543496,natco-ponni-rice-5kg,4567661543496,5kg,5,kg,/uploads/natco_ponni-rice-5kg.jpg,A,,,See product packaging for full ingredients list,,India,Default,R1818
4567661674568,natco-sona-masuri-rice-5kg,4567661674568,5kg,5,kg,/uploads/natco_sona-masuri-rice-5kg.jpg,A,,,See product packaging for full ingredients list,,India,Default,R1514
4567661772872,natco-easycook-parboiled-rice-5kg,4567661772872,5kg,5,kg,/uploads/natco_easycook-parboiled-rice-5kg.jpg,A,,,See product packaging for full ingredients list,,India,Default,R1455
