product_handle,variant_sku,variant_barcode,variant_title,weight_value,weight_unit,thumbnail_url,velocity,tags,allergens,ingredients,storage,country_of_origin,variant_title_raw,variant_sku_raw,sourcing_depot
haldirams-gulab-jamun-tin,haldirams-haldirams-gulab-jamun-tin-500g,GEN_haldirams-gulab-jamun-tin_500g,500g,500,g,/images/products/haldirams-gulab-jamun-tin.png,B,,,See product packaging for full ingredients list,,India,500g,Haldiram's-haldirams-gulab-jamun-tin-v0,depot_b
haldirams-gulab-jamun-tin,haldirams-haldirams-gulab-jamun-tin-1kg,GEN_haldirams-gulab-jamun-tin_1kg,1kg,1,kg,/images/products/haldirams-gulab-jamun-tin.png,B,,,See product packaging,,India,1kg,MVC-haldirams-gulab-jamun-tin-1kg-v0,depot_b
haldirams-moong-dal,haldirams-haldirams-moong-dal-400g,GEN_haldirams-moong-dal_400g,400g,400,g,/images/products/haldirams-moong-dal.jpg,B,,,See product packaging,,India,400g,MVC-haldirams-moong-dal-400g-v0,depot_b
haldirams-rasgulla-tin,haldirams-haldirams-rasgulla-tin-1kg,GEN_haldirams-rasgulla-tin_1kg,1kg,1,kg,/images/products/haldirams-rasgulla-tin.png,B,,,See product packaging for full ingredients list,,India,1kg,Haldiram's-haldirams-rasgulla-tin-v0,depot_b
haldirams-soan-papdi,haldirams-haldirams-soan-papdi-500g,GEN_haldirams-soan-papdi_500g,500g,500,g,/images/products/haldirams-soan-papdi.png,B,,,See product packaging for full ingredients list,,India,500g,Haldiram's-haldirams-soan-papdi-v0,depot_b
haldirams-mathri,haldirams-mathri-200g,GEN_haldirams-mathri_200g,,200,g,/images/products/haldirams-mathri.png,A,,wheat,Contains wheat gluten,Store in a cool dry place,India,Default,haldirams-mathri-200g,depot_b
laziza-kheer-mix,laziza-kheer-mix-150g,GEN_laziza-kheer-mix_150g,,150,g,/images/products/laziza-kheer-mix.jpg,A,,milk,Contains milk; See product packaging,Store in a cool dry place,Pakistan,Default,laziza-kheer-mix-150g,depot_c
laziza-rasmalai-mix,laziza-rasmalai-mix-200g,GEN_laziza-rasmalai-mix_200g,,200,g,/images/products/laziza-rasmalai-mix.jpg,A,,milk,Contains milk solids; See product packaging,Store in a cool dry place,Pakistan,Default,laziza-rasmalai-mix-200g,depot_c
lg-asafoetida-hing,lg-hing-100g,GEN_lg-asafoetida-hing_100g,,100,g,/images/products/lg-asafoetida-hing.jpg,A,,asafoetida,See product packaging for full ingredients list,Store in a cool dry place,India,Default,lg-asafoetida-hing-100g,fresh_supplier
maggi-2-minute-noodles-masala-4-pack,maggi-maggi-2-minute-noodles-masala-4-pack,GEN_maggi-2-minute-noodles-masala-4-pack_0,4-Pack,,,/images/products/maggi-2-minute-noodles-masala-4-pack.jpg,B,,,See product packaging for full ingredients list,,India,4-Pack,Maggi-maggi-2-minute-noodles-masala-v0,depot_c
mdh-sambar-masala,mdh-sambar-masala-100g,GEN_mdh-sambar-masala_100g,,100,g,/images/products/mdh-sambar-masala.jpg,A,,,See product packaging,Store in a cool dry place,India,Default,mdh-sambar-masala-100g,depot_b
mtr-gulab-jamun-tin,mtr-gulab-jamun-tin-500g,GEN_mtr-gulab-jamun-tin_500g,,500,g,/images/products/mtr-gulab-jamun-tin.png,A,,milk,Contains milk,Store in a cool dry place,India,Default,mtr-gulab-jamun-tin-500g,depot_c
mtr-idli-mix,mtr-idli-mix-500g,GEN_mtr-idli-mix_500g,,500,g,/images/products/mtr-idli-mix.jpg,A,,,See product packaging,Store in a cool dry place,India,Default,mtr-idli-mix-500g,depot_c
mtr-khaman-dhokla-mix,mtr-dhokla-mix-500g,GEN_mtr-khaman-dhokla-mix_500g,,500,g,/images/products/mtr-khaman-dhokla-mix.jpg,A,,,See product packaging,Store in a cool dry place,India,Default,mtr-khaman-dhokla-mix-500g,depot_c
mtr-rava-dosa-mix,mtr-rava-dosa-mix-500g,GEN_mtr-rava-dosa-mix_500g,,500,g,/images/products/mtr-rava-dosa-mix.jpg,A,,wheat,Contains wheat,Store in a cool dry place,India,Default,mtr-rava-dosa-mix-500g,depot_c
mtr-rava-idli-mix,mtr-rava-idli-mix-500g,GEN_mtr-rava-idli-mix_500g,,500,g,/images/products/mtr-rava-idli-mix.jpg,A,,wheat,Contains wheat,Store in a cool dry place,India,Default,mtr-rava-idli-mix-500g,depot_c
mtr-roasted-vermicelli,mtr-vermicelli-400g,GEN_mtr-roasted-vermicelli_400g,,400,g,/images/products/mtr-roasted-vermicelli.jpg,A,,wheat,Contains wheat,Store in a cool dry place,India,Default,mtr-roasted-vermicelli-400g,depot_c
mtr-upma-mix,mtr-upma-mix-500g,GEN_mtr-upma-mix_500g,,500,g,/images/products/mtr-upma-mix.jpg,A,,wheat,Contains wheat,Store in a cool dry place,India,Default,mtr-upma-mix-500g,depot_c
mtr-vada-mix,mtr-vada-mix-200g,GEN_mtr-vada-mix_200g,,200,g,/images/products/mtr-vada-mix.jpg,A,,,See product packaging,Store in a cool dry place,India,Default,mtr-vada-mix-200g,depot_c
14681551307137,natco-spiced-tea-masala-blend-160s,GEN_14681551307137_0,,,,/uploads/natco_spiced-tea-masala-blend-160s.jpg,A,,,See product packaging for full ingredients list,,India,Default,V6920,depot_b
15097116393857,natco-lemon-juicetr,GEN_15097116393857_0,,,,/uploads/natco_lemon-juice-1-ltr.jpg,A,,,See product packaging for full ingredients list,,India,Default,V1000,depot_b
15097122881921,natco-lemon-juice-500ml,GEN_15097122881921_500ml,500ml,500,ml,/uploads/natco_lemon-juice-500ml.jpg,A,,,See product packaging for full ingredients list,,India,Default,V1005,depot_b
15097233015169,natco-lemon-juice-with-essential-oil-200ml,GEN_15097233015169_200ml,200ml,200,ml,/uploads/natco_lemon-juice-with-essential-oil-200ml.jpg,A,,,See product packaging for full ingredients list,,India,Default,V1010,depot_b
15383643226497,natco-pure-mustard-oiltr,GEN_15383643226497_0,,,,/uploads/natco_pure-mustard-oil-1ltr.jpg,A,,mustard,See product packaging for full ingredients list,,India,Default,C2273,depot_b
15383683334529,natco-pure-mustard-oil-250ml,GEN_15383683334529_250ml,250ml,250,ml,/uploads/natco_pure-mustard-oil-250ml.jpg,A,,mustard,See product packaging for full ingredients list,,India,Default,C2275,depot_b
4567655219272,natco-rose-water-310ml,4567655219272,310ml,310,ml,/uploads/natco_rose-water-310ml.jpg,A,,,See product packaging for full ingredients list,,India,Default,V6105,depot_b
4567655284808,natco-kevda-water-310ml,4567655284808,310ml,310,ml,/uploads/natco_kevda-water-310ml.jpg,A,,,See product packaging for full ingredients list,,India,Default,V3205,depot_b
4567655350344,natco-coconut-flavouring-essence-28ml,4567655350344,28ml,28,ml,/uploads/natco_coconut-flavouring-essence-28ml.jpg,A,,tree-nuts,See product packaging for full ingredients list,,India,Default,V1196,depot_b
4567655383112,natco-pineapple-flavouring-essence-28ml,4567655383112,28ml,28,ml,/uploads/natco_pineapple-flavouring-essence-28ml.jpg,A,,,See product packaging for full ingredients list,,India,Default,V1192,depot_b
4567655448648,natco-strawberry-flavouring-essence-28ml,4567655448648,28ml,28,ml,/uploads/natco_strawberry-flavouring-essence-28ml.jpg,A,,,See product packaging for full ingredients list,,India,Default,V1188,depot_b
4567655514184,natco-rose-flavouring-essence-28ml,4567655514184,28ml,28,ml,/uploads/natco_rose-flavouring-essence-28ml.jpg,A,,,See product packaging for full ingredients list,,India,Default,V1182,depot_b
4567655612488,natco-almond-flavouring-essence-28ml,4567655612488,28ml,28,ml,/uploads/natco_almond-flavouring-essence-28ml.jpg,A,,tree-nuts,See product packaging for full ingredients list,,India,Default,V1176,depot_b
4567655678024,natco-vanilla-flavouring-essence-28ml,4567655678024,28ml,28,ml,/uploads/natco_vanilla-flavouring-essence-28ml.jpg,A,,,See product packaging for full ingredients list,,India,Default,V1172,depot_b
4567655743560,natco-green-food-colouring-liquid-28ml,4567655743560,28ml,28,ml,/uploads/natco_green-food-colouring-liquid-28ml.jpg,A,,,See product packaging for full ingredients list,,India,Default,V1160,depot_b
4567655841864,natco-red-food-colouring-liquid-28ml,4567655841864,28ml,28,ml,/uploads/natco_red-food-colouring-liquid-28ml.jpg,A,,,See product packaging for full ingredients list,,India,Default,V1156,depot_b
